Stage,Match_ID,Date,Team1,Team2,Prob_T1,Prob_Draw,Prob_T2,RF_Prob_T1,RF_Prob_Draw,RF_Prob_T2,XGB_Prob_T1,XGB_Prob_Draw,XGB_Prob_T2,ANN_Prob_T1,ANN_Prob_Draw,ANN_Prob_T2,Winner,Loser
Group C,,20.06.2026,Brazil,Haiti,64.17666666666666,18.753333333333334,17.07,68.4,18.759999999999998,12.839999999999998,66.44,18.54,15.02,57.69,18.96,23.35,Brazil,Haiti
Group D,,20.06.2026,Turkiye,Paraguay,54.27,22.546666666666667,23.183333333333337,56.95,24.15,18.9,50.739999999999995,24.32,24.94,55.120000000000005,19.17,25.71,Turkiye,Paraguay
Group F,,20.06.2026,Netherlands,Sweden,48.910000000000004,22.570000000000004,28.52,48.199999999999996,21.48,30.320000000000004,50.480000000000004,25.77,23.75,48.05,20.46,31.490000000000002,Netherlands,Sweden
Group E,,20.06.2026,Germany,Cote Divoire,46.776666666666664,25.666666666666668,27.55666666666667,42.17,31.55,26.279999999999998,51.24999999999999,23.84,24.91,46.910000000000004,21.61,31.480000000000004,Germany,Cote Divoire
Group E,,21.06.2026,Ecuador,Curacao,61.92666666666667,19.176666666666666,18.896666666666665,67.13,16.98,15.89,58.03,21.45,20.52,60.62,19.1,20.28,Ecuador,Curacao
Group F,,21.06.2026,Tunisia,Japan,16.23,19.416666666666668,64.35333333333334,12.509999999999998,17.849999999999998,69.64,16.11,21.01,62.88,20.07,19.39,60.540000000000006,Japan,Tunisia
Group H,,21.06.2026,Spain,Saudi Arabia,62.17666666666668,20.07,17.753333333333334,62.050000000000004,22.06,15.89,64.84,19.939999999999998,15.22,59.64,18.21,22.15,Spain,Saudi Arabia
Group G,,21.06.2026,Belgium,Iran,52.06333333333333,22.16,25.77666666666667,51.07000000000001,24.45,24.48,50.57000000000001,22.48,26.950000000000003,54.55,19.55,25.900000000000002,Belgium,Iran
Group H,,22.06.2026,Uruguay,Cape Verde,55.21,21.16,23.63,54.669999999999995,21.060000000000002,24.27,56.61000000000001,21.64,21.75,54.35,20.78,24.87,Uruguay,Cape Verde
Group G,,22.06.2026,New Zealand,Egypt,15.666666666666666,21.13,63.20333333333334,14.219999999999999,21.89,63.89,13.56,22.24,64.2,19.220000000000002,19.259999999999998,61.519999999999996,Egypt,New Zealand
