tournament_name,Home_Big_Chances_5,Home_Shots_5,Home_Shots_on_Target_5,Home_touches_in_penalty_area_5,Home_big_chances_last_5,Home_final_third_entries_last_5,Home_touches_in_penalty_area_last_5,Home_wins_last_5,Home_goals_last_5,Home_conceded_last_5,Home_gd_last_5,Away_Big_Chances_5,Away_Shots_5,Away_Shots_on_Target_5,Away_touches_in_penalty_area_5,Away_big_chances_last_5,Away_final_third_entries_last_5,Away_touches_in_penalty_area_last_5,Away_wins_last_5,Away_goals_last_5,Away_conceded_last_5,Away_gd_last_5,Home_elo,Away_elo,ELO_diff
Friendlies & Minor,,,,,,,,,,,,,,,,,,,,,,,1308.3404983629005,1500.0,-191.65950163709954
Nations League,,,,,0.0,104.0,,,,,,,,,,1.0,44.0,,,,,,1490.28774368332,1510.0,-19.71225631667994
Nations League,,,,,,,,,,,,,,,,1.0,57.0,,,,,,1500.0,1490.0,10.0
Qualifiers,,,,,1.0,51.0,,,,,,0.8,9.8,2.4,,0.8641975308641976,101.54320987654323,,0.0,5.0,13.0,-8.0,1510.0,1372.4222925281647,137.5777074718353
Qualifiers,,,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,0.0
Qualifiers,1.0,10.0,2.6666666666666665,,0.44444444444444453,101.0,,,,,,,,,,2.0,52.0,,,,,,1484.5876916853972,1506.653570409243,-22.0658787238458
Qualifiers,,,,,0.0,54.0,,,,,,,,,,2.0,85.0,,,,,,1489.7205315838,1510.0,-20.27946841619996
Friendlies & Minor,,,,,,,,,,,,,,,,,,,,,,,1593.7579581961966,1499.3140447068656,94.44391348933095
Qualifiers,,,,,,,,,,,,,,,,,,,,,,,1579.34,1500.0,79.33999999999992
Qualifiers,,,,,,,,,,,,,,,,3.0,100.0,,,,,,1500.0,1587.0952950454553,-87.09529504545526
Major Continental,,,,,2.3333333333333335,81.66666666666667,,,,,,2.6666666666666665,8.8,3.2,,2.0,79.55555555555557,,2.0,4.0,4.0,0.0,1516.0193159156747,1525.0490560049157,-9.029740089240931
Major Continental,,,,,1.0,43.0,,,,,,,,,,1.0,103.0,,,,,,1829.4808636373928,1690.5867690034738,138.89409463391894
Qualifiers,0.8,8.2,2.0,,1.4444444444444446,107.65432098765433,,0.0,2.0,16.0,-14.0,2.0,13.2,4.0,,1.5555555555555558,153.03703703703707,,2.0,5.0,5.0,0.0,1462.2183822321736,1588.0561546731815,-125.83777244100793
Qualifiers,,,,,,65.0,,,,,,,,,,0.0,31.0,,,,,,1519.0972167474074,1711.643165047457,-192.54594830004953
Qualifiers,,,,,2.0,161.0,,,,,,,,,,,30.66666666666667,,,,,,1771.1365644055784,1500.278796315917,270.8577680896615
Qualifiers,,,,,,,,,,,,4.6,17.6,5.8,,2.2222222222222228,192.65432098765433,,3.0,7.0,3.0,4.0,1559.0,1745.2309092353744,-186.23090923537438
Qualifiers,,13.666666666666666,8.333333333333334,,2.0,183.44444444444446,,,,,,,,,,3.0,45.0,,,,,,1600.0657107278305,1510.56675634087,89.49895438696058
Qualifiers,1.4,11.2,3.8,,1.62962962962963,152.79012345679016,,2.0,6.0,4.0,2.0,2.0,9.4,3.4,,3.8436213991769557,139.13580246913583,,3.0,10.0,13.0,-3.0,1514.2705002620396,1514.6675376634973,-0.39703740145773736
Qualifiers,4.25,22.25,5.5,,3.037037037037037,168.962962962963,,,,,,,3.0,0.8,,0.05852766346593511,32.855967078189316,,0.0,1.0,7.0,-6.0,1538.373882596169,1465.7778612556758,72.59602134049328
Qualifiers,,,,,,76.0,,,,,,0.8,7.8,2.2,,0.9629629629629632,106.76954732510289,,0.0,2.0,16.0,-14.0,1494.7287875953825,1455.6898000546962,39.03898754068632
Qualifiers,2.6666666666666665,19.0,6.75,,1.4444444444444446,176.77777777777777,,,,,,,,,,,,,,,,,1689.5251200823109,1500.0,189.52512008231088
Qualifiers,,,,,2.666666666666667,116.0,,,,,,1.4,14.0,3.6,,2.08641975308642,172.86008230452677,,2.0,5.0,4.0,1.0,1743.0680470901511,1524.2819279120895,218.78611917806165
Qualifiers,,,,,1.0,100.0,,,,,,,,,,0.0,72.0,,,,,,1599.0521680999343,1492.791426578935,106.26074152099932
Qualifiers,4.0,14.6,6.2,,9.839506172839506,156.32098765432102,,3.0,17.0,6.0,11.0,4.0,9.8,5.0,,4.518518518518519,158.51851851851853,,5.0,12.0,0.0,12.0,1524.7541584737912,1835.2084945856532,-310.45433611186195
Qualifiers,2.25,8.6,3.8,,1.9259259259259265,81.53360768175584,,1.0,10.0,14.0,-4.0,4.2,18.8,6.8,,8.436213991769549,215.6383173296754,,3.0,13.0,4.0,9.0,1485.6633096962958,1750.5237388484347,-264.860429152139
Qualifiers,4.333333333333333,16.0,7.333333333333333,,4.0,111.77777777777779,,,,,,2.6666666666666665,11.6,3.8,,2.1316872427983546,142.44855967078192,,2.0,8.0,7.0,1.0,1880.1990950083352,1678.6204759105754,201.57861909775988
Qualifiers,,,,,1.0,57.0,,,,,,4.0,20.6,7.2,,4.094650205761318,247.6008230452675,,4.0,14.0,3.0,11.0,1492.5637111412607,1704.290305149628,-211.72659400836733
Qualifiers,2.75,11.4,4.4,,0.9876543209876548,122.19753086419755,,3.0,8.0,7.0,1.0,4.2,18.0,7.4,,9.039780521262003,205.4759945130316,,3.0,19.0,6.0,13.0,1519.6737953101008,1540.4238660942854,-20.750070784184572
Qualifiers,3.6,12.6,6.0,,5.679012345679013,150.94238683127574,,4.0,10.0,2.0,8.0,1.4,12.0,4.4,,0.9218106995884778,124.85871056241429,,1.0,4.0,2.0,2.0,1771.0145901863484,1695.532181146896,75.48240903945248
