match_id,match_date,tournament_name,is_neutral_ground,Home Team,Away Team,home_final_score,away_final_score,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_shots_on_target,away_shots_on_target,home_hit_woodwork,away_hit_woodwork,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_big_chances_scored,away_big_chances_scored,home_big_chances_missed,away_big_chances_missed,home_through_balls,away_through_balls,home_fouled_in_final_third,away_fouled_in_final_third,home_offsides,away_offsides,home_accurate_passes,away_accurate_passes,home_throw-ins,away_throw-ins,home_final_third_entries,away_final_third_entries,home_long_balls,away_long_balls,home_crosses,away_crosses,home_duels,away_duels,home_dispossessed,away_dispossessed,home_ground_duels,away_ground_duels,home_aerial_duels,away_aerial_duels,home_dribbles,away_dribbles,home_tackles_won,away_tackles_won,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_total_saves,away_total_saves,home_goal_kicks,away_goal_kicks,home_touches_in_penalty_area,away_touches_in_penalty_area,home_final_third_phase,away_final_third_phase,home_big_saves,away_big_saves,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals,home_punches,away_punches,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_high_claims,away_high_claims,home_penalty_saves,away_penalty_saves,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal,home_goals_prevented,away_goals_prevented
8600753,2020-10-11 16:00:00,"UEFA Nations League, League A, Gr. 1",0,Bosnia & Herzegovina,Netherlands,0,0,31.0,69.0,0.0,3.0,6.0,15.0,4.0,1.0,2.0,7.0,9.0,14.0,325.0,713.0,15.0,7.0,14.0,8.0,2.0,1.0,1.0,4.0,0.0,0.0,2.0,8.0,3.0,3.0,3.0,10.0,3.0,5.0,,,0.0,3.0,,,0.0,1.0,5.0,2.0,249.0,631.0,12.0,20.0,31.0,89.0,21/53 (40),31/52 (60),0/7 (0),10/35 (29),53.0,47.0,6.0,10.0,37/61 (61),24/61 (39),15/38 (39),23/38 (61),9/10 (90),9/14 (64),40.0,71.0,15.0,7.0,7.0,13.0,,,39.0,5.0,4.0,1.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,
8600887,2020-10-11 16:00:00,"UEFA Nations League, League C, Gr. 4",0,Lithuania,Belarus,2,2,42.0,58.0,2.0,2.0,11.0,8.0,1.0,3.0,3.0,7.0,21.0,24.0,349.0,480.0,14.0,14.0,23.0,20.0,4.0,2.0,5.0,3.0,0.0,0.0,3.0,2.0,3.0,3.0,6.0,4.0,5.0,4.0,0.0,2.0,2.0,0.0,,,6.0,1.0,0.0,4.0,237.0,359.0,17.0,28.0,56.0,66.0,26/78 (33),31/69 (45),4/15 (27),9/33 (27),48.0,52.0,9.0,2.0,40/81 (49),41/81 (51),19/41 (46),22/41 (54),4/9 (44),8/20 (40),57.0,57.0,14.0,14.0,16.0,5.0,,,24.0,15.0,1.0,3.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,
8600878,2020-10-13 16:00:00,"UEFA Nations League, League C, Gr. 1",0,Azerbaijan,Cyprus,0,0,57.0,43.0,3.0,0.0,11.0,12.0,0.0,6.0,1.0,1.0,18.0,23.0,498.0,369.0,13.0,16.0,20.0,17.0,1.0,5.0,6.0,0.0,0.0,0.0,5.0,8.0,0.0,4.0,10.0,3.0,1.0,9.0,,,3.0,0.0,1.0,0.0,4.0,5.0,1.0,3.0,367.0,257.0,28.0,27.0,62.0,54.0,36/87 (41),34/70 (49),2/9 (22),5/14 (36),50.0,50.0,8.0,9.0,42/81 (52),39/81 (48),21/44 (48),23/44 (52),10/18 (56),7/11 (64),38.0,75.0,13.0,16.0,15.0,22.0,,,9.0,10.0,0.0,6.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,
8600883,2020-10-13 16:00:00,"UEFA Nations League, League D, Gr. 1",0,Latvia,Malta,0,1,47.0,53.0,2.0,1.0,18.0,12.0,3.0,6.0,6.0,6.0,21.0,11.0,362.0,422.0,13.0,11.0,11.0,21.0,4.0,2.0,6.0,4.0,1.0,0.0,9.0,4.0,3.0,4.0,13.0,4.0,5.0,8.0,,,2.0,1.0,,,3.0,1.0,3.0,0.0,269.0,327.0,28.0,19.0,53.0,38.0,25/57 (44),32/55 (58),7/23 (30),3/15 (20),49.0,51.0,8.0,4.0,33/79 (42),46/79 (58),19/28 (68),9/28 (32),10/13 (77),14/23 (61),54.0,82.0,13.0,11.0,23.0,10.0,,,13.0,19.0,3.0,6.0,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,
8600885,2020-10-14 18:45:00,"UEFA Nations League, League C, Gr. 4",0,Belarus,Kazakhstan,2,0,44.0,56.0,2.0,0.0,9.0,11.0,3.0,2.0,5.0,3.0,11.0,19.0,383.0,485.0,8.0,16.0,18.0,11.0,0.0,1.0,4.0,3.0,0.0,0.0,3.0,6.0,2.0,2.0,4.0,5.0,5.0,6.0,2.0,0.0,,,,,5.0,3.0,0.0,6.0,258.0,362.0,33.0,18.0,69.0,66.0,24/78 (31),31/70 (44),2/14 (14),2/14 (14),49.0,51.0,9.0,6.0,41/79 (52),38/79 (48),19/43 (44),24/43 (56),16/23 (70),11/13 (85),63.0,50.0,8.0,16.0,18.0,17.0,,,17.0,21.0,3.0,2.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,
8600796,2020-10-14 18:45:00,"UEFA Nations League, League A, Gr. 1",0,Poland,Bosnia & Herzegovina,3,0,64.0,36.0,3.0,0.0,20.0,5.0,2.0,5.0,4.0,3.0,16.0,12.0,626.0,345.0,15.0,8.0,11.0,16.0,2.0,3.0,8.0,2.0,1.0,0.0,4.0,2.0,8.0,1.0,16.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,,,4.0,1.0,3.0,1.0,541.0,265.0,10.0,11.0,65.0,43.0,30/50 (60),19/55 (35),7/19 (37),2/11 (18),49.0,51.0,6.0,11.0,33/67 (49),34/67 (51),7/15 (47),8/15 (53),7/9 (78),10/14 (71),67.0,75.0,15.0,8.0,14.0,16.0,,,8.0,21.0,2.0,5.0,5.0,6.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,
8600897,2020-11-14 17:00:00,"UEFA Nations League, League C, Gr. 1",0,Azerbaijan,Montenegro,0,0,58.0,42.0,,,10.0,8.0,2.0,3.0,6.0,2.0,16.0,9.0,521.0,375.0,13.0,10.0,8.0,16.0,4.0,3.0,3.0,2.0,0.0,1.0,4.0,6.0,3.0,0.0,3.0,5.0,7.0,3.0,,,,,,,1.0,2.0,2.0,2.0,394.0,264.0,35.0,26.0,89.0,32.0,35/73 (48),25/62 (40),5/18 (28),3/11 (27),42.0,58.0,6.0,8.0,27/64 (42),37/64 (58),11/27 (41),16/27 (59),6/10 (60),12/17 (71),69.0,80.0,13.0,10.0,13.0,15.0,,,13.0,20.0,2.0,3.0,5.0,9.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,
8600873,2020-11-14 17:00:00,"UEFA Nations League, League D, Gr. 1",0,Latvia,Faroe Islands,1,1,57.0,43.0,1.0,0.0,10.0,12.0,2.0,2.0,4.0,4.0,16.0,12.0,414.0,310.0,14.0,12.0,12.0,14.0,2.0,1.0,3.0,3.0,1.0,0.0,5.0,4.0,2.0,5.0,7.0,8.0,3.0,4.0,,,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,294.0,180.0,23.0,29.0,44.0,79.0,31/82 (38),38/95 (40),3/19 (16),5/20 (25),51.0,49.0,10.0,7.0,33/63 (52),30/63 (48),27/54 (50),27/54 (50),7/9 (78),5/12 (42),71.0,42.0,14.0,12.0,8.0,10.0,,,34.0,15.0,2.0,2.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8600900,2020-11-15 17:00:00,"UEFA Nations League, League C, Gr. 4",0,Belarus,Lithuania,2,0,40.0,60.0,2.0,0.0,12.0,9.0,1.0,2.0,7.0,4.0,19.0,14.0,361.0,549.0,18.0,8.0,14.0,19.0,1.0,2.0,4.0,1.0,0.0,0.0,5.0,6.0,3.0,2.0,8.0,2.0,4.0,7.0,1.0,0.0,1.0,0.0,,,1.0,4.0,1.0,2.0,259.0,464.0,22.0,20.0,56.0,64.0,22/62 (35),46/69 (67),5/17 (29),2/22 (9),53.0,47.0,5.0,13.0,39/76 (51),37/76 (49),19/33 (58),14/33 (42),8/11 (73),11/16 (69),67.0,25.0,18.0,8.0,14.0,14.0,,,23.0,15.0,1.0,2.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,
8600826,2020-11-15 17:00:00,"UEFA Nations League, League A, Gr. 1",0,Netherlands,Bosnia & Herzegovina,3,1,60.0,40.0,4.0,1.0,17.0,11.0,1.0,7.0,5.0,1.0,19.0,13.0,618.0,422.0,12.0,5.0,11.0,19.0,1.0,2.0,10.0,2.0,1.0,0.0,3.0,6.0,4.0,3.0,11.0,6.0,6.0,5.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,4.0,3.0,2.0,552.0,357.0,4.0,11.0,70.0,39.0,23/42 (55),21/41 (51),2/21 (10),1/9 (11),49.0,51.0,4.0,10.0,34/68 (50),34/68 (50),4/9 (44),5/9 (56),11/12 (92),10/12 (83),67.0,40.0,12.0,5.0,10.0,5.0,,,7.0,26.0,1.0,7.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,
